Id,Name,Source,Max Bounty($),Total Paid Amount($),Response Time(Mins),Languages,Product Types,Project Types,Ecosystems,Program Types,Last Updated
ondofinance,Ondo Finance,Immunefi,250000,0,0,"Solidity","Yield Aggregator","Defi","ETH","Smart Contract",2023-03-07 18:58:47.635000+00:00
furucombofunds,Furucombo Funds,Immunefi,250000,0,0,"Solidity","DEX,L2","Defi","ETH,Polygon","Smart Contract",2023-04-28 22:16:11.431000+00:00
astarnetwork,Astar Network,Immunefi,250000,0,2748,"Rust","Staking,Crosschain Liquidity,L2","Defi","ETH,Polkadot","Websites and Applications,Blockchain/DLT",2023-05-20 03:10:38.066000+00:00
marinade,Marinade,Immunefi,250000,0,0,"Rust","Staking","Defi","Solana","Smart Contract",2022-11-23 19:36:35.814000+00:00
cronos,Cronos,Immunefi,250000,0,0,"Solidity","L1","Blockchain,Defi","Cronos","Smart Contract,Websites and Applications,Blockchain/DLT",2023-04-20 05:04:31.666000+00:00
notional,Notional,Immunefi,250000,0,135,"Solidity","Staking,Lending","Defi","ETH","Smart Contract,Websites and Applications",2023-07-03 14:09:52.173000+00:00
instadapp,Instadapp,Immunefi,250000,0,0,"Solidity","L2","Defi","Avalanche,Fantom,Polygon,Optimism","Smart Contract,Websites and Applications",2023-03-17 18:49:08.328000+00:00
tokemak,Tokemak,Immunefi,250000,0,0,"Solidity","Staking,Crosschain Liquidity","Defi","ETH","Smart Contract,Websites and Applications",2022-12-07 20:48:01.357000+00:00
pendle,Pendle,Immunefi,250000,0,1914,"Solidity","AMM","Defi","ETH","Smart Contract",2023-04-05 18:32:43.426000+00:00
defisaver,DeFi Saver,Immunefi,250000,0,0,"Solidity","Asset Management","Defi","ETH","Smart Contract,Websites and Applications",2022-10-13 13:59:12.524000+00:00
perpetual,Perpetual,Immunefi,250000,0,0,"Solidity","Perpetuals","Defi","Optimism,xDAI","Smart Contract",2022-10-24 16:27:21.887000+00:00
radiant,Radiant,Immunefi,200000,0,6439,"Solidity","Staking,Crosschain Liquidity,Lending","Defi","Arbitrum","Smart Contract,Websites and Applications",2023-06-15 15:03:09.705000+00:00
paraspace,ParaSpace,Immunefi,200000,0,0,"Solidity","Lending","NFT","ETH","Smart Contract",2023-03-22 17:30:35.658000+00:00
gearbox,Gearbox,Immunefi,200000,343000,419,"Solidity","Perpetuals,Options","Defi","ETH","Smart Contract",2023-01-09 14:39:47.361000+00:00
pnetwork,pNetwork,Immunefi,200000,0,0,"Solidity","L2","Defi,NFT","ETH,Polygon,xDAI","Smart Contract,Websites and Applications",2023-05-26 17:29:13.269000+00:00
spookyswap,SpookySwap,Immunefi,200000,0,0,"Solidity","DEX,Staking,Crosschain Liquidity,AMM","Defi,NFT","Fantom","Smart Contract",2022-10-24 16:25:31.646000+00:00
gainsnetwork,Gains Network,Immunefi,400000,118000,0,"Solidity","DEX,Perpetuals,Staking,L2,Options","Defi,NFT","Polygon","Smart Contract,Websites and Applications",2023-08-01 21:42:07.807000+00:00
enzymefinance,Enzyme Finance,Immunefi,400000,536000,114,"Solidity","Asset Management","Defi","ETH","Smart Contract",2023-07-28 00:42:55.201000+00:00
ribbon,Ribbon,Immunefi,300000,0,0,"Solidity","Yield Aggregator,Derivatives","Defi","ETH","Smart Contract",2023-05-26 17:14:11.899000+00:00
popcorn,Popcorn,Immunefi,150000,26000,4397,"Solidity","Yield Aggregator","Defi","ETH","Smart Contract",2023-06-28 17:05:45.157000+00:00
88mphv3,88mphV3,Immunefi,100420,0,0,"Solidity","Lending","Defi","ETH","Smart Contract",2022-10-13 13:56:46.842000+00:00
bonfida,Bonfida,Immunefi,100000,0,0,"Rust","","Defi","Solana","Smart Contract,Websites and Applications",2023-08-05 03:10:01.401000+00:00
utix,Utix,Immunefi,100000,0,0,"Solidity","","","ETH","Smart Contract",2023-07-27 19:08:16.478000+00:00
linea,Linea,Immunefi,100000,0,0,"Solidity","L2","Blockchain","","Smart Contract",2023-07-11 12:13:01.551000+00:00
velodromefinance,Velodrome Finance,Immunefi,100000,0,0,"Solidity","DEX,Staking,AMM","Defi","ETH","Smart Contract",2023-07-19 16:14:42.923000+00:00
pushprotocol,Push Protocol,Immunefi,100000,0,0,"Solidity","Staking","Infrastructure","ETH,BSC","Smart Contract",2023-06-21 17:32:20.276000+00:00
lybrafinance,Lybra Finance,Immunefi,100000,0,0,"Solidity","Lending","Defi","ETH","Smart Contract",2023-05-30 19:51:23.544000+00:00
traderjoe,Trader Joe,Immunefi,100000,0,0,"Solidity","DEX,Staking,Lending,AMM","Defi","Avalanche,Fuse,Arbitrum","Smart Contract",2023-06-19 14:13:58.870000+00:00
chronos,Chronos,Immunefi,100000,0,0,"Solidity","DEX","Defi,NFT","Arbitrum","Smart Contract",2023-05-03 05:32:32.453000+00:00
ipor,IPOR,Immunefi,100000,1000,646,"Solidity","Asset Management,DEX,Staking,AMM,Derivatives","Defi","ETH","Smart Contract",2023-04-19 13:38:54.877000+00:00
uniwhale,Uniwhale,Immunefi,100000,21200,371,"Solidity","Synthetic Assets,Oracle,DEX,Perpetuals,Derivatives","Defi","BSC","Smart Contract",2023-05-01 11:54:43.137000+00:00
metronome,Metronome,Immunefi,100000,0,0,"Solidity","Synthetic Assets,Yield Aggregator","Defi","ETH","Smart Contract,Websites and Applications",2023-02-23 16:27:52.205000+00:00
dfxfinance,DFX Finance,Immunefi,100000,128000,2915,"Solidity","DEX","Defi","ETH,Polygon","Smart Contract",2023-02-13 17:56:49.386000+00:00
mars,Mars Protocol,Immunefi,100000,20000,0,"Rust","L1","Blockchain","Terra","Smart Contract,Blockchain/DLT",2023-08-08 23:00:52.311000+00:00
pods,Pods,Immunefi,100000,0,0,"Solidity","Yield Aggregator","Defi","ETH","Smart Contract,Websites and Applications",2023-06-01 03:15:43.463000+00:00
geodefinance,Geode Finance,Immunefi,100000,0,0,"Solidity","Staking","Defi","Avalanche","Smart Contract,Websites and Applications",2023-03-08 15:58:14.915000+00:00
revert,Revert,Immunefi,100000,0,0,"Solidity","AMM","Defi","ETH","Smart Contract",2022-11-15 18:26:02.847000+00:00
router,Router,Immunefi,200000,103755,7048,"Solidity","Crosschain Liquidity,L2,L1","Blockchain,Defi,Infrastructure","ETH,Polygon","Smart Contract,Websites and Applications",2022-10-13 14:03:24.991000+00:00
yearnfinance,Yearn Finance,Immunefi,200000,207500,156,"Solidity","Lending,Yield Aggregator","Blockchain,Defi","ETH,Fantom","Smart Contract",2023-07-17 20:30:58.691000+00:00
sushiswap,SushiSwap,Immunefi,200000,469101,9577,"Solidity","DEX,AMM","Defi","ETH,Fantom,Polygon,BSC,xDAI","Smart Contract,Websites and Applications",2023-05-10 22:27:11.520000+00:00
oceanprotocol,Ocean Protocol,Immunefi,100000,666000,12699,"Solidity","DEX,Staking,Lending,Wallet,Currency","Blockchain,Defi,NFT","ETH,Polygon","Smart Contract",2023-05-04 16:53:40.990000+00:00
sturdy,Sturdy,Immunefi,100000,0,0,"Solidity","Stablecoin,Lending","Defi","ETH,Fantom","Smart Contract,Websites and Applications",2022-11-01 15:17:22.106000+00:00
superfluid,Superfluid,Immunefi,100000,0,0,"Solidity","","Defi","Polygon","Smart Contract",2023-06-06 03:27:31.742000+00:00
wepiggy,WePiggy,Immunefi,100000,0,0,"Solidity","Asset Management,Lending,L2","Defi,NFT","ETH,Polygon,Optimism,BSC,Heco","Smart Contract,Websites and Applications",2022-12-13 04:26:39.424000+00:00
woofi,WOOFi,Immunefi,100000,0,0,"Solidity","DEX,Staking,AMM,CEX","Defi","ETH","Smart Contract",2023-04-14 16:15:30.597000+00:00
idex,IDEX,Immunefi,100000,0,0,"Solidity","DEX,Staking,AMM","Defi","Polygon","Smart Contract,Websites and Applications",2022-10-13 14:00:39.620000+00:00
